filename,size(wxh),pos(x+y),start,end
UnderNinja-OP1.webm,87x100,50x50,2,14
UnderNinja-OP1.webm,90x90,50x50,14,22
HypnosisMicS2-OP1.webm,60x90,50x50,0,5
AzurLane-OP1-NCBD1080.webm,30x10,50x50,13,15
AzurLane-OP1-NCBD1080.webm,40x15,50x73,23,28
DarkerThanBlack-OP2.webm,75x50,50x50,23,37.5
HakataTonkotsuRamens-OP1-NCBD1080.webm,65x15,60x50,11,19
YuukiBakuhatsuBangBravern-OP1.webm,70x12,50x70,15,23
AnsatsuKyoushitsu-OP1.webm,95x30,50x85,5,12.5
TokyoRavens-OP1.webm,40x10,75x60,40,45.5
DGrayMan-OP4.webm,100x100,50x50,8.5,9.75
DGrayMan-OP4.webm,90x70,50x50,9.75,13
AokiHaganeArsNova-OP1.webm,25x20,50x50,9,10.5
AokiHaganeArsNova-OP1.webm,25x7,50x68,15.5,20.5
FateZeroS2-OP1.webm,50x55,50x50,9.5,19
Berserk2016-OP1-NCBD1080.webm,55x20,80x80,18,23
Berserk2016-OP1-NCBD1080.webm,70x100,0x0,72,76
JakuCharaTomozakiKun-OP1-NCBD1080.webm,15x11,40x39,12,19
Wistoria-OP1.webm,27x5,50x56,15,21
SwordArtOnlineAlicization-OP1-NCBD1080.webm,60x20,50x55,0,3
SwordArtOnlineAlicization-OP1-NCBD1080.webm,65x10,50x53,11,16
RWBYHyousetsuTeikoku-OP1.webm,70x5,50x50,8,14
RWBYHyousetsuTeikoku-OP1.webm,70x5,50x50,8,14
SousouNoFrieren-OP1-NCBD1080.webm,55x10,50x65,19,29.5
DragonBallSuper-OP2.webm,100x50,50x50,11,19
ShieldHeroS2-OP1-NCBD1080.webm,40x20,50x90,11,18
YGO5DS-ED5.webm,100x100,0x0,5,9
YGO5DS-ED5.webm,80x100,0x0,9,10
YGO5DS-ED5.webm,75x80,0x0,10,16
AkatsukiNoYona-OP2.webm,10x10,69x65,14,21.5
Kokkoku-OP1v2-BD1080.webm,50x15,52x90,41,47
GundamTheWitchFromMercury-OP1v2-NCBD1080.webm,50x20,50x50,11.5,13
SwordArtOnline-OP2.webm,60x7,50x58,15,23.5
ReCreators-OP1.webm,80x80,50x50,4,9
NanatsuNoTaizaiImashimeNoFukkatsu-OP1-NCBD1080.webm,30x10,66x66,10,15
BlackClover-OP4-NCBD1080.webm,50x10,50x50,23,28
BlackClover-OP4-NCBD1080.webm,35x30,50x80,28,31
Bleach-OP7.webm,60x40,50x50,12.5,18
ShangrilaFrontier-OP1.webm,32x8,60x45,10,18
OnePunchManS2-OP1-NCBD1080.webm,90x25,50x50,9,14
ArslanSenkiTV-OP1.webm,40x20,21x70,11,16.5
DateALive-OP1.webm,100x100,0x0,21,26
DateALive-OP1.webm,80x40,50x50,26,34
Hinamatsuri-OP1-NCBD1080.webm,30x10,55x75,18,23.5
Tearmoon-OP1.webm,35x7,50x87,14,18.5
GenkokuS2-OP1-NCBD1080.webm,75x7,50x50,11,15.75
HunterHunter2011-OP1.webm,75x60,50x50,18,24.5
NanatsuNoTaizaiMokushirokuNoYonkishiS2-OP1.webm,30x15,77x45,5,8
BlackBullet-OP1v2-NCBD1080.webm,46x10,22x62,7,13
YoukosoZitsuS2-OP1-NCBD1080.webm,40x11,88x28,14,19
BananaFish-OP1-NCBD1080.webm,80x25,50x47,15,22
